Ime,URL,Gorovje,Višina (m),Zahtevnost (min),Zahtevnost (max),Priljubljenost
Gonžarjeva peč,https://www.hribi.net/gora/gonzarjeva_pec/11/1745,Karavanke,575,lahka,zahtevna,638
Kal (nad Komno),https://www.hribi.net/gora/kal_nad_komno/1/936,Julijske Alpe,2001,ni podatka,ni podatka,639
Rogljica,https://www.hribi.net/gora/rogljica/1/19,Julijske Alpe,2547,ni podatka,ni podatka,640
Špik (Paški Kozjak),https://www.hribi.net/gora/spik_paski_kozjak/11/741,Karavanke,1108,lahka,lahka,641
Škednjovec,https://www.hribi.net/gora/skednjovec/1/1639,Julijske Alpe,2309,ni podatka,ni podatka,642
Planinski dom Šentjungert,https://www.hribi.net/gora/planinski_dom_sentjungert/3/886,Kamniško Savinjske Alpe,565,lahka,lahka,643
Planina Tamar,https://www.hribi.net/gora/planina_tamar/21/2000,"Škofjeloško, Cerkljansko hribovje in Jelovica",1124,lahka,lahka,644
Kucelj,https://www.hribi.net/gora/kucelj/25/1135,Zasavsko - Posavsko hribovje in Dolenjska,748,lahka,lahka,645
Koča pri Jelenovem studencu,https://www.hribi.net/gora/koca_pri_jelenovem_studencu/25/1189,Zasavsko - Posavsko hribovje in Dolenjska,850,lahka,lahka,646
Srednji Golak,https://www.hribi.net/gora/srednji_golak/26/529,"Goriško, Notranjsko in Snežniško hribovje",1480,lahka,lahka,647
Sovna glava,https://www.hribi.net/gora/sovna_glava/1/465,Julijske Alpe,1750,lahka,lahka,648
Bukov vrh,https://www.hribi.net/gora/bukov_vrh/5/765,Polhograjsko hribovje in Ljubljana,832,lahka,lahka,649
Planina Krnica,https://www.hribi.net/gora/planina_krnica/1/421,Julijske Alpe,1252,lahka,delno zahtevna,650
Veliki Šmohor,https://www.hribi.net/gora/veliki_smohor/1/1055,Julijske Alpe,1944,ni podatka,ni podatka,651
Plaski Vogel,https://www.hribi.net/gora/plaski_vogel/1/1058,Julijske Alpe,2348,ni podatka,ni podatka,653
Stjenkova koča na Trstelju,https://www.hribi.net/gora/stjenkova_koca_na_trstelju/26/867,"Goriško, Notranjsko in Snežniško hribovje",610,lahka,lahka,654
Plešivec (Loška stena),https://www.hribi.net/gora/plesivec_loska_stena/1/1377,Julijske Alpe,2184,delno zahtevna,delno zahtevna,656
Žrd / Sart,https://www.hribi.net/gora/zrd___sart/1/1038,Julijske Alpe,2324,delno zahtevna,zahtevna,657
Velika Črnelska špica,https://www.hribi.net/gora/velika_crnelska_spica/1/668,Julijske Alpe,2332,zahtevna,zahtevna,658
Koča na Kopitniku,https://www.hribi.net/gora/koca_na_kopitniku/25/789,Zasavsko - Posavsko hribovje in Dolenjska,865,lahka,lahka,659
Mehovski hrib,https://www.hribi.net/gora/mehovski_hrib/25/2136,Zasavsko - Posavsko hribovje in Dolenjska,571,lahka,zahtevna,660
Planina Suha,https://www.hribi.net/gora/planina_suha/1/311,Julijske Alpe,1385,lahka,lahka,661
Frdamane police,https://www.hribi.net/gora/frdamane_police/1/2003,Julijske Alpe,2284,ni podatka,ni podatka,662
Kovk,https://www.hribi.net/gora/kovk/26/1183,"Goriško, Notranjsko in Snežniško hribovje",961,lahka,lahka,663
Rifugio Zacchi,https://www.hribi.net/gora/rifugio_zacchi/1/1048,Julijske Alpe,1380,lahka,lahka,664
Medvedje Brdo,https://www.hribi.net/gora/medvedje_brdo/26/1466,"Goriško, Notranjsko in Snežniško hribovje",814,lahka,lahka,665
Vrh Razora,https://www.hribi.net/gora/vrh_razora/1/291,Julijske Alpe,1893,ni podatka,ni podatka,666
Javoršček,https://www.hribi.net/gora/javorscek/1/1536,Julijske Alpe,1557,lahka,zahtevna,667
Matkova kopa,https://www.hribi.net/gora/matkova_kopa/3/1648,Kamniško Savinjske Alpe,1957,ni podatka,ni podatka,668
Skutnik / Monte Guarda,https://www.hribi.net/gora/skutnik___monte_guarda/1/601,Julijske Alpe,1721,lahka,lahka,669
Posestvo Šumik,https://www.hribi.net/gora/posestvo_sumik/4/574,Pohorje in ostala severovzhodna Slovenija,1100,lahka,lahka,670
Kota 1313,https://www.hribi.net/gora/kota_1313/1/1330,Julijske Alpe,1313,lahka,lahka,671
Mestni vrh,https://www.hribi.net/gora/mestni_vrh/25/1190,Zasavsko - Posavsko hribovje in Dolenjska,1034,lahka,lahka,672
Kanjavec (Zahodni vrh),https://www.hribi.net/gora/kanjavec_zahodni_vrh/1/1544,Julijske Alpe,2569,lahka,lahka,673
Planina Planinca,https://www.hribi.net/gora/planina_planinca/11/1150,Karavanke,1136,lahka,delno zahtevna,674
Rifnik,https://www.hribi.net/gora/rifnik/25/875,Zasavsko - Posavsko hribovje in Dolenjska,568,lahka,lahka,675
Slap Peričnik - zgornji slap,https://www.hribi.net/gora/slap_pericnik_-_zgornji_slap/1/473,Julijske Alpe,850,lahka,lahka,676
Koseški bajer,https://www.hribi.net/gora/koseski_bajer/5/2146,Polhograjsko hribovje in Ljubljana,307,lahka,lahka,677
Čisti vrh,https://www.hribi.net/gora/cisti_vrh/1/1605,Julijske Alpe,1875,lahka,lahka,678
Strug,https://www.hribi.net/gora/strug/1/1622,Julijske Alpe,2265,zahtevna,zahtevna,679
Šmarjetna glava,https://www.hribi.net/gora/smarjetna_glava/1/1612,Julijske Alpe,2358,ni podatka,ni podatka,680
Kumlehova glava,https://www.hribi.net/gora/kumlehova_glava/1/1266,Julijske Alpe,1788,zahtevna,zahtevna,681
Planina Zaprikraj,https://www.hribi.net/gora/planina_zaprikraj/1/683,Julijske Alpe,1208,lahka,lahka,682
Jenkova planina,https://www.hribi.net/gora/jenkova_planina/3/477,Kamniško Savinjske Alpe,1495,lahka,lahka,683
Mala Košuta,https://www.hribi.net/gora/mala_kosuta/11/301,Karavanke,1740,lahka,lahka,684
Dragov dom na Homu,https://www.hribi.net/gora/dragov_dom_na_homu/25/859,Zasavsko - Posavsko hribovje in Dolenjska,607,lahka,lahka,685
Vrh Bače,https://www.hribi.net/gora/vrh_bace/1/1486,Julijske Alpe,1273,lahka,lahka,686
Šplevta (Indijanec),https://www.hribi.net/gora/splevta_indijanec/1/1348,Julijske Alpe,2382,delno zahtevna,delno zahtevna,687
Rifugio Corsi,https://www.hribi.net/gora/rifugio_corsi/1/1042,Julijske Alpe,1874,lahka,delno zahtevna,688
Goteniški Snežnik,https://www.hribi.net/gora/goteniski_sneznik/26/1176,"Goriško, Notranjsko in Snežniško hribovje",1289,lahka,lahka,689
Suhi vrh,https://www.hribi.net/gora/suhi_vrh/1/996,Julijske Alpe,2109,ni podatka,ni podatka,690
Planina pod Mišelj vrhom,https://www.hribi.net/gora/planina_pod_miselj_vrhom/1/292,Julijske Alpe,1645,lahka,zahtevna,691
Dom v Gorah,https://www.hribi.net/gora/dom_v_gorah/25/790,Zasavsko - Posavsko hribovje in Dolenjska,762,lahka,lahka,692
Planina Zadnji Vogel,https://www.hribi.net/gora/planina_zadnji_vogel/1/1899,Julijske Alpe,1413,lahka,lahka,693
Rdeči rob,https://www.hribi.net/gora/rdeci_rob/1/1590,Julijske Alpe,1913,lahka,lahka,694
Kriški rob,https://www.hribi.net/gora/kriski_rob/1/1349,Julijske Alpe,2366,delno zahtevna,delno zahtevna,696
Žigartov vrh,https://www.hribi.net/gora/zigartov_vrh/4/894,Pohorje in ostala severovzhodna Slovenija,1346,lahka,lahka,697
Gače,https://www.hribi.net/gora/gace/25/899,Zasavsko - Posavsko hribovje in Dolenjska,955,lahka,lahka,701
Velika Špička,https://www.hribi.net/gora/velika_spicka/26/784,"Goriško, Notranjsko in Snežniško hribovje",955,lahka,lahka,702
Sveti Lenart,https://www.hribi.net/gora/sveti_lenart/5/375,Polhograjsko hribovje in Ljubljana,861,delno zahtevna,delno zahtevna,703
Prevala,https://www.hribi.net/gora/prevala/3/1915,Kamniško Savinjske Alpe,1163,lahka,lahka,704
Kraljevska špica/Monte Re,https://www.hribi.net/gora/kraljevska_spica_monte_re/1/1278,Julijske Alpe,1912,delno zahtevna,delno zahtevna,705
Iški Vintgar (Vrbica),https://www.hribi.net/gora/iski_vintgar_vrbica/26/751,"Goriško, Notranjsko in Snežniško hribovje",420,delno zahtevna,delno zahtevna,707
Slap Peričnik - spodnji slap,https://www.hribi.net/gora/slap_pericnik_-_spodnji_slap/1/474,Julijske Alpe,800,lahka,lahka,708
Dom na Slajki,https://www.hribi.net/gora/dom_na_slajki/21/546,"Škofjeloško, Cerkljansko hribovje in Jelovica",789,lahka,lahka,709
Volnik,https://www.hribi.net/gora/volnik/26/1744,"Goriško, Notranjsko in Snežniško hribovje",546,lahka,lahka,710
Sveti Socerb (Artviže),https://www.hribi.net/gora/sveti_socerb_artvize/26/1702,"Goriško, Notranjsko in Snežniško hribovje",817,lahka,lahka,711
Vrata,https://www.hribi.net/gora/vrata/3/124,Kamniško Savinjske Alpe,1591,ni podatka,ni podatka,712
Visoki vrh,https://www.hribi.net/gora/visoki_vrh/11/369,Karavanke,1828,lahka,lahka,713
Medvedjak,https://www.hribi.net/gora/medvedjak/3/597,Kamniško Savinjske Alpe,1573,lahka,lahka,714
Tiho jezero (Falski ribnik),https://www.hribi.net/gora/tiho_jezero_falski_ribnik/4/1111,Pohorje in ostala severovzhodna Slovenija,1266,lahka,lahka,715
Mojstrovica,https://www.hribi.net/gora/mojstrovica/11/368,Karavanke,1816,lahka,lahka,716
Prvi Vogel,https://www.hribi.net/gora/prvi_vogel/1/713,Julijske Alpe,2181,ni podatka,ni podatka,717
Klobuk,https://www.hribi.net/gora/klobuk/25/1195,Zasavsko - Posavsko hribovje in Dolenjska,890,lahka,delno zahtevna,718
Planinski dom na Kalu,https://www.hribi.net/gora/planinski_dom_na_kalu/25/786,Zasavsko - Posavsko hribovje in Dolenjska,946,lahka,delno zahtevna,719
Kozlov rob,https://www.hribi.net/gora/kozlov_rob/1/1757,Julijske Alpe,426,lahka,lahka,720
Rifugio di Brazza,https://www.hribi.net/gora/rifugio_di_brazza/1/429,Julijske Alpe,1660,lahka,lahka,721
Škrbina,https://www.hribi.net/gora/skrbina/11/293,Karavanke,1869,lahka,lahka,722
Kršičevec,https://www.hribi.net/gora/krsicevec/26/912,"Goriško, Notranjsko in Snežniško hribovje",1091,lahka,lahka,724
Planina na Polju,https://www.hribi.net/gora/planina_na_polju/1/417,Julijske Alpe,1530,lahka,lahka,725
Votlina Kralja Matjaža,https://www.hribi.net/gora/votlina_kralja_matjaza/11/671,Karavanke,1670,lahka,lahka,727
Murovica,https://www.hribi.net/gora/murovica/25/1205,Zasavsko - Posavsko hribovje in Dolenjska,743,lahka,lahka,728
Gubno (nad Kriško steno),https://www.hribi.net/gora/gubno_nad_krisko_steno/1/1121,Julijske Alpe,2403,zahtevna,zahtevna,729
Slap Grmečica,https://www.hribi.net/gora/slap_grmecica/21/353,"Škofjeloško, Cerkljansko hribovje in Jelovica",510,lahka,delno zahtevna,730
Koča na Pesniku,https://www.hribi.net/gora/koca_na_pesniku/4/522,Pohorje in ostala severovzhodna Slovenija,1101,lahka,lahka,731
Belopotoški slap,https://www.hribi.net/gora/belopotoski_slap/1/407,Julijske Alpe,720,lahka,lahka,732
Kožljek,https://www.hribi.net/gora/kozljek/5/333,Polhograjsko hribovje in Ljubljana,788,lahka,lahka,734
Bivak na Belščici,https://www.hribi.net/gora/bivak_na_belscici/11/377,Karavanke,1750,lahka,lahka,735
Žirovniška planina,https://www.hribi.net/gora/zirovniska_planina/11/381,Karavanke,1200,lahka,lahka,736
Veliki vrh (Polovnik),https://www.hribi.net/gora/veliki_vrh_polovnik/1/1346,Julijske Alpe,1768,delno zahtevna,delno zahtevna,737
Krnes,https://www.hribi.net/gora/krnes/3/486,Kamniško Savinjske Alpe,1613,lahka,lahka,738
Bivak pod Mrzlim vrhom,https://www.hribi.net/gora/bivak_pod_mrzlim_vrhom/3/618,Kamniško Savinjske Alpe,1980,delno zahtevna,zahtevna,739
Planina Goričica,https://www.hribi.net/gora/planina_goricica/1/416,Julijske Alpe,1336,lahka,lahka,740
Sveti Ahac,https://www.hribi.net/gora/sveti_ahac/25/725,Zasavsko - Posavsko hribovje in Dolenjska,748,lahka,lahka,741
Planina Zgornja Grintovica,https://www.hribi.net/gora/planina_zgornja_grintovica/1/247,Julijske Alpe,1250,lahka,lahka,742
Zgornje Mangartsko jezero,https://www.hribi.net/gora/zgornje_mangartsko_jezero/1/430,Julijske Alpe,929,lahka,lahka,743
Poprovec,https://www.hribi.net/gora/poprovec/1/1546,Julijske Alpe,2496,zahtevna,zahtevna,744
Vodice,https://www.hribi.net/gora/vodice/26/864,"Goriško, Notranjsko in Snežniško hribovje",651,lahka,delno zahtevna,745
Vrh Snežne konte,https://www.hribi.net/gora/vrh_snezne_konte/1/1383,Julijske Alpe,2342,zahtevna,zahtevna,746
Kovinarska koča v Krmi,https://www.hribi.net/gora/kovinarska_koca_v_krmi/1/1786,Julijske Alpe,870,lahka,lahka,747
Golič,https://www.hribi.net/gora/golic/26/1683,"Goriško, Notranjsko in Snežniško hribovje",890,lahka,lahka,748
Koča na Kozleku,https://www.hribi.net/gora/koca_na_kozleku/26/819,"Goriško, Notranjsko in Snežniško hribovje",997,lahka,lahka,749
Zabreška planina,https://www.hribi.net/gora/zabreska_planina/11/1552,Karavanke,1225,lahka,lahka,750
Planina Govnjač,https://www.hribi.net/gora/planina_govnjac/1/449,Julijske Alpe,1480,lahka,lahka,751
Breški Jalovec / Punta di Montemaggiore,https://www.hribi.net/gora/breski_jalovec___punta_di_montemaggiore/1/1395,Julijske Alpe,1613,lahka,delno zahtevna,752
Ptičji vrh,https://www.hribi.net/gora/pticji_vrh/11/348,Karavanke,1550,lahka,lahka,754
Planina Sleme,https://www.hribi.net/gora/planina_sleme/1/1594,Julijske Alpe,1448,lahka,lahka,755
Koča na Petrovem Brdu,https://www.hribi.net/gora/koca_na_petrovem_brdu/1/1475,Julijske Alpe,804,lahka,lahka,756
Zavetišče gorske straže na Jelencih,https://www.hribi.net/gora/zavetisce_gorske_straze_na_jelencih/21/439,"Škofjeloško, Cerkljansko hribovje in Jelovica",1185,lahka,lahka,757
Koča na Treh plotih,https://www.hribi.net/gora/koca_na_treh_plotih/3/598,Kamniško Savinjske Alpe,1530,lahka,lahka,758
Planina Zgornja Dolga njiva,https://www.hribi.net/gora/planina_zgornja_dolga_njiva/11/297,Karavanke,1580,lahka,lahka,759
Okroglež,https://www.hribi.net/gora/okroglez/1/1124,Julijske Alpe,1965,lahka,zahtevna,761
Lačna,https://www.hribi.net/gora/lacna/26/1705,"Goriško, Notranjsko in Snežniško hribovje",451,lahka,lahka,762
Žabiški Kuk,https://www.hribi.net/gora/zabiski_kuk/1/686,Julijske Alpe,1844,lahka,delno zahtevna,763
Dom na Matajure,https://www.hribi.net/gora/dom_na_matajure/1/1537,Julijske Alpe,1545,lahka,lahka,764
Kosmati vrh (Ratitovec),https://www.hribi.net/gora/kosmati_vrh_ratitovec/21/608,"Škofjeloško, Cerkljansko hribovje in Jelovica",1643,lahka,lahka,765
Veliki Rog,https://www.hribi.net/gora/veliki_rog/25/901,Zasavsko - Posavsko hribovje in Dolenjska,1099,lahka,lahka,766
Pečovniška koča na Grmadi,https://www.hribi.net/gora/pecovniska_koca_na_grmadi/25/876,Zasavsko - Posavsko hribovje in Dolenjska,620,lahka,zahtevna,767
Planina Spodnja Konjščica,https://www.hribi.net/gora/planina_spodnja_konjscica/11/347,Karavanke,1451,lahka,lahka,768
Pri Pastirjih,https://www.hribi.net/gora/pri_pastirjih/3/248,Kamniško Savinjske Alpe,1430,lahka,lahka,769
Koča na Vrhu Svetih Treh Kraljev,https://www.hribi.net/gora/koca_na_vrhu_svetih_treh_kraljev/26/650,"Goriško, Notranjsko in Snežniško hribovje",823,lahka,lahka,770
Veliki Selišnik,https://www.hribi.net/gora/veliki_selisnik/1/641,Julijske Alpe,1952,ni podatka,ni podatka,771
Vrh Hribaric,https://www.hribi.net/gora/vrh_hribaric/1/1539,Julijske Alpe,2388,zahtevna,zahtevna,772
Robanova planina,https://www.hribi.net/gora/robanova_planina/3/616,Kamniško Savinjske Alpe,890,lahka,lahka,773
Zajčeva koča,https://www.hribi.net/gora/zajceva_koca/25/174,Zasavsko - Posavsko hribovje in Dolenjska,742,lahka,delno zahtevna,774
Mariborski razglednik (Cigelnica),https://www.hribi.net/gora/mariborski_razglednik_cigelnica/4/893,Pohorje in ostala severovzhodna Slovenija,1147,lahka,lahka,775
Dom na Bukovici,https://www.hribi.net/gora/dom_na_bukovici/25/858,Zasavsko - Posavsko hribovje in Dolenjska,584,lahka,lahka,776
Vodnikov Vršac (Vršac nad Zadnjico),https://www.hribi.net/gora/vodnikov_vrsac_vrsac_nad_zadnjico/1/2072,Julijske Alpe,2194,zahtevna,zahtevna,777
Sveta Marija na Planinski gori,https://www.hribi.net/gora/sveta_marija_na_planinski_gori/26/798,"Goriško, Notranjsko in Snežniško hribovje",782,lahka,lahka,778
Grmada na Mali gori,https://www.hribi.net/gora/grmada_na_mali_gori/25/1169,Zasavsko - Posavsko hribovje in Dolenjska,887,lahka,lahka,779
Teme (Hribarice),https://www.hribi.net/gora/teme_hribarice/1/1545,Julijske Alpe,2495,zahtevna,zahtevna,781
Planina Leskovca,https://www.hribi.net/gora/planina_leskovca/1/329,Julijske Alpe,1230,lahka,lahka,782
Planina Pečana,https://www.hribi.net/gora/planina_pecana/21/481,"Škofjeloško, Cerkljansko hribovje in Jelovica",1472,lahka,lahka,783
Visoki vrh nad Jezerskim,https://www.hribi.net/gora/visoki_vrh_nad_jezerskim/3/1723,Kamniško Savinjske Alpe,1459,lahka,lahka,784
Kup (na Raduhi),https://www.hribi.net/gora/kup_na_raduhi/3/1817,Kamniško Savinjske Alpe,1808,lahka,lahka,785
Špilk,https://www.hribi.net/gora/spilk/25/1652,Zasavsko - Posavsko hribovje in Dolenjska,956,lahka,lahka,786
Raskovec,https://www.hribi.net/gora/raskovec/1/1099,Julijske Alpe,1967,lahka,lahka,787
Planina Arta,https://www.hribi.net/gora/planina_arta/3/458,Kamniško Savinjske Alpe,1564,lahka,lahka,789
Planinski dom na Brnici,https://www.hribi.net/gora/planinski_dom_na_brnici/25/873,Zasavsko - Posavsko hribovje in Dolenjska,457,lahka,lahka,790
Planina Za skalo,https://www.hribi.net/gora/planina_za_skalo/1/1059,Julijske Alpe,1510,lahka,lahka,791
Rifugio Gilberti,https://www.hribi.net/gora/rifugio_gilberti/1/1036,Julijske Alpe,1850,lahka,lahka,792
Pungartska gora,https://www.hribi.net/gora/pungartska_gora/11/1778,Karavanke,2025,ni podatka,ni podatka,794
Dom na Sviščakih,https://www.hribi.net/gora/dom_na_sviscakih/26/1175,"Goriško, Notranjsko in Snežniško hribovje",1242,lahka,lahka,795
Požgana Mlinarica,https://www.hribi.net/gora/pozgana_mlinarica/1/1812,Julijske Alpe,1868,zahtevna,zahtevna,796
Mala Peca,https://www.hribi.net/gora/mala_peca/11/672,Karavanke,1731,lahka,lahka,797
Zeleni vrh,https://www.hribi.net/gora/zeleni_vrh/1/1888,Julijske Alpe,2052,lahka,zahtevna,798
Kotečnik,https://www.hribi.net/gora/kotecnik/25/857,Zasavsko - Posavsko hribovje in Dolenjska,772,lahka,lahka,799
Racna gora,https://www.hribi.net/gora/racna_gora/26/1128,"Goriško, Notranjsko in Snežniško hribovje",1140,lahka,lahka,800
Velika glava (Peca),https://www.hribi.net/gora/velika_glava_peca/11/1277,Karavanke,2077,lahka,lahka,801
Soteska Čepa/Tscheppaschlucht,https://www.hribi.net/gora/soteska_cepa_tscheppaschlucht/11/1271,Karavanke,750,lahka,lahka,802
Dreiländereck Hütte,https://www.hribi.net/gora/dreilandereck_hutte/11/507,Karavanke,1423,lahka,lahka,803
Planinski dom Goška ravan,https://www.hribi.net/gora/planinski_dom_goska_ravan/21/2117,"Škofjeloško, Cerkljansko hribovje in Jelovica",933,lahka,lahka,804
Planina Spodnja Grintovica,https://www.hribi.net/gora/planina_spodnja_grintovica/1/246,Julijske Alpe,1165,lahka,lahka,805
Kalvarija,https://www.hribi.net/gora/kalvarija/5/494,Polhograjsko hribovje in Ljubljana,460,lahka,lahka,806
Pečke,https://www.hribi.net/gora/pecke/4/2162,Pohorje in ostala severovzhodna Slovenija,720,lahka,lahka,807
Grlovec / Ferlacher Horn,https://www.hribi.net/gora/grlovec___ferlacher_horn/11/721,Karavanke,1840,lahka,delno zahtevna,808
Mali vrh,https://www.hribi.net/gora/mali_vrh/11/1123,Karavanke,2017,ni podatka,ni podatka,809
Ostrež,https://www.hribi.net/gora/ostrez/25/1753,Zasavsko - Posavsko hribovje in Dolenjska,856,lahka,lahka,810
Matajurski vrh,https://www.hribi.net/gora/matajurski_vrh/1/1105,Julijske Alpe,1936,delno zahtevna,delno zahtevna,811
Magdalenska gora,https://www.hribi.net/gora/magdalenska_gora/25/1139,Zasavsko - Posavsko hribovje in Dolenjska,504,lahka,lahka,812
Sveti Urh (nad Zaklancem),https://www.hribi.net/gora/sveti_urh_nad_zaklancem/5/771,Polhograjsko hribovje in Ljubljana,420,lahka,lahka,813
Vrh Planje,https://www.hribi.net/gora/vrh_planje/1/448,Julijske Alpe,1971,lahka,delno zahtevna,814
Črni vrh nad Novaki,https://www.hribi.net/gora/crni_vrh_nad_novaki/21/900,"Škofjeloško, Cerkljansko hribovje in Jelovica",1291,lahka,lahka,815
Ključ,https://www.hribi.net/gora/kljuc/5/769,Polhograjsko hribovje in Ljubljana,623,lahka,lahka,816
Tominčev slap,https://www.hribi.net/gora/tomincev_slap/3/716,Kamniško Savinjske Alpe,750,lahka,lahka,817
Grmada (Planinska gora),https://www.hribi.net/gora/grmada_planinska_gora/26/1221,"Goriško, Notranjsko in Snežniško hribovje",873,lahka,lahka,818
Vrh Krnice,https://www.hribi.net/gora/vrh_krnice/1/1373,Julijske Alpe,2441,zahtevna,zahtevna,819
Rog,https://www.hribi.net/gora/rog/5/1110,Polhograjsko hribovje in Ljubljana,798,lahka,lahka,820
Reška planina,https://www.hribi.net/gora/reska_planina/25/853,Zasavsko - Posavsko hribovje in Dolenjska,925,lahka,delno zahtevna,821
Muzec - Musc (Mali Muzec),https://www.hribi.net/gora/muzec_-_musc_mali_muzec/1/825,Julijske Alpe,1612,delno zahtevna,delno zahtevna,822
Skala,https://www.hribi.net/gora/skala/11/884,Karavanke,750,lahka,zahtevna,823
Bivak v Kočni,https://www.hribi.net/gora/bivak_v_kocni/3/1064,Kamniško Savinjske Alpe,1952,zahtevna,zahtevna,824
Obolno,https://www.hribi.net/gora/obolno/25/1137,Zasavsko - Posavsko hribovje in Dolenjska,776,lahka,lahka,825
Stene svete Ane,https://www.hribi.net/gora/stene_svete_ane/25/1172,Zasavsko - Posavsko hribovje in Dolenjska,964,lahka,lahka,826
Ostrič,https://www.hribi.net/gora/ostric/26/1152,"Goriško, Notranjsko in Snežniško hribovje",1056,lahka,lahka,827
Ruska kapelica,https://www.hribi.net/gora/ruska_kapelica/1/271,Julijske Alpe,1130,lahka,lahka,828
Škol,https://www.hribi.net/gora/skol/26/1743,"Goriško, Notranjsko in Snežniško hribovje",1182,lahka,lahka,829
Kačji rob (Ovharn),https://www.hribi.net/gora/kacji_rob_ovharn/21/1925,"Škofjeloško, Cerkljansko hribovje in Jelovica",1552,lahka,lahka,830
